GivenName,Surname,StreetAddress,City,ZipCode,EmailAddress,TelephoneNumber,Latitude,Longitude,GUID,Domain,Company,Color,Occupation,Vehicle,Birthday,Number,Gender,NameSet,Title,MiddleInitial,State,StateFull,Country,CountryFull,Username,Password,BrowserUserAgent,TelephoneCountryCode,MothersMaiden,TropicalZodiac,CCType,CCNumber,CVV2,CCExpires,NationalID,UPS,WesternUnionMTCN,MoneyGramMTCN,BloodType,Pounds,Kilograms,FeetInches,Centimeters
Estrid,Hansson,"Brucknerweg 100","Hautes Roches",2762,EstridHansson@rhyta.com,"032 327 88 50",47.280595,7.402961,c056ad69-6265-4d62-9467-740698c796e6,MediaScams.ch,"Practi-Plan Mapping",Blue,"Systems software engineer","1994 Peugeot 106",7/17/1956,1,female,Swedish,Ms.,C,,,CH,Switzerland,Roonstank,XeiDoo8Quae,"Mozilla/5.0 (Windows NT 10.0; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0",41,Fransson,Cancer,Visa,4485403745624652,458,10/2018,,"1Z 4F8 W63 37 6552 896 2",3262677574,29062928,B+,206.6,93.9,"5' 2""",158
Alve,Löfgren,"Via Franscini 10",Ueberthal,5237,AlveLofgren@gustr.com,"062 991 47 34",47.463041,8.181798,57410849-3864-41b8-9c94-ddf57715de3e,RawFoodCheap.ch,Profitpros,Blue,"Textile knitting and weaving machine operator","2007 Fiat Doblo",6/3/1962,2,male,Swedish,Mr.,C,,,CH,Switzerland,Anstor1962,Shaeng5lai,"Mozilla/5.0 (Windows NT 6.1; rv:42.0) Gecko/20100101 Firefox/42.0",41,Jansson,Gemini,MasterCard,5296753695627477,882,11/2018,,"1Z 12W 094 92 4172 609 3",9072095728,11674162,O+,241.6,109.8,"6' 0""",183
Lilja,Jansson,"Untere Aegerten 63",Corbeyrier,1856,LiljaJansson@einrot.com,"024 705 37 33",46.313573,7.043856,fe5b333c-4100-4294-8d02-01e17074a701,SmallMediumOrLarge.ch,"Monk Real Estate Service",Purple,"Fund manager","2003 Pininfarina Enjoy",12/5/1986,3,female,Swedish,Ms.,A,,,CH,Switzerland,Thamot,Heebei1qu,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/47.0.2526.73 Chrome/47.0.2526.73 Safari/537.36",41,Dahlberg,Sagittarius,MasterCard,5325954047269746,236,5/2017,,"1Z A67 331 54 0805 437 0",1236711074,92860557,B+,174.5,79.3,"5' 5""",165
Rayan,Bergström,"Piazza Indipendenza 54",Treyvaux,1733,RayanBergstrom@gustr.com,"026 307 12 77",46.705007,7.093921,c15f55fd-dbbc-4371-82d0-39d45b6a7eb3,GreenDormitory.ch,Burstein-Applebee,Green,Custodian,"2011 Peugeot 408",1/17/1982,4,male,Swedish,Mr.,L,,,CH,Switzerland,Xylaw1982,iraeLai3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",41,Magnusson,Capricorn,MasterCard,5387171432799006,379,8/2021,,"1Z 69F 595 59 1804 950 2",1451502181,60450654,O+,243.3,110.6,"6' 1""",186
Esther,Dahlberg,"Jakobstrasse 62",Obfelden,8912,EstherDahlberg@fleckens.hu,"044 718 86 96",47.297616,8.377476,3df2a631-5cc9-43be-920c-c58ad7967085,WorstMeal.ch,"Mr. D's IGA",Purple,Reporter,"1995 Auverland A3",3/18/1956,5,female,Swedish,Ms.,E,,,CH,Switzerland,Apprive,Gooy7gie0ah,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0",41,Nyman,Pisces,Visa,4716544167353774,327,3/2020,,"1Z 390 Y20 63 7110 200 7",7372187552,66843780,O+,126.1,57.3,"5' 3""",160
Baran,Ek,"Brunnacherstrasse 99",Zürich,8041,BaranEk@cuvox.de,"043 365 82 72",47.407099,8.478778,46325670-871b-4a84-aa61-311f0d7f960b,GrandTires.ch,BASCO,Green,"Asset property manager","2007 Bentley Arnage",4/30/1940,6,male,Swedish,Mr.,H,,,CH,Switzerland,Nowent40,aquae7eVai,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",41,Åberg,Taurus,MasterCard,5545361753893772,511,7/2020,,"1Z 560 9V4 94 0489 667 8",6756395231,07861252,O+,148.3,67.4,"6' 0""",183
Emilia,Bergman,"Erlenweg 145",Bern,3019,EmiliaBergman@teleworm.us,"031 538 99 49",46.935083,7.36414,74fd9d7c-8576-47aa-b74c-99449ed1c378,RecruiterMonthly.ch,"Walt's IGA",White,"Intercity bus driver","2004 Toyota 4Runner",6/21/1973,7,female,Swedish,Ms.,W,,,CH,Switzerland,Morts1973,uK6ohHui9,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",41,Bergström,Cancer,Visa,4539679281514375,998,4/2021,,"1Z 500 W21 98 5656 337 5",7214525230,48084533,A+,185.0,84.1,"5' 8""",172
Jonas,Wallin,"Postfach 140",Albeuve,1669,JonasWallin@fleckens.hu,"026 616 59 83",46.509622,6.96189,a54c04b7-6e0f-467e-acb1-d3b83bc4777d,TShirtTuesday.ch,"Dubrow's Cafeteria",Blue,Administrator,"1998 Volkswagen Gol",11/21/1984,8,male,Swedish,Mr.,E,,,CH,Switzerland,Thessom,uCoibahng3w,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0",41,Nilsson,Scorpio,Visa,4716450309517849,690,5/2021,,"1Z 516 432 60 9788 350 5",9517959998,59437018,A+,200.0,90.9,"5' 9""",175
Noah,Eriksson,"Via Stauffacher 80",Vilars,2063,NoahEriksson@gustr.com,"032 753 39 93",47.000556,6.880418,b5ed710a-77ca-46be-837a-c5df410fac9d,CoupleSeminar.ch,"Road Runner Lawn Services",Green,Commissioner,"2005 Dodge Magnum",7/9/1954,9,male,Swedish,Mr.,E,,,CH,Switzerland,Poper1954,faph2Oogh,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240",41,Göransson,Cancer,MasterCard,5324573140488069,421,1/2020,,"1Z 1A8 W66 51 1837 013 8",5040543042,10808986,O+,172.0,78.2,"6' 1""",185
Karolin,Bergman,"Landstrasse 54",Schachen,9056,KarolinBergman@dayrep.com,"071 374 82 72",47.339743,9.440228,088f9469-99fa-493e-bf55-93b4b53d64a5,NotebookSwap.ch,"MVP Sports",Blue,Stratigrapher,"2008 Nissan Quest",5/11/1971,10,female,Swedish,Ms.,L,,,CH,Switzerland,Exuld1971,Naeki6oh,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0",41,Andersson,Taurus,MasterCard,5479686451672734,638,7/2021,,"1Z 367 34A 09 4148 079 8",1671737688,23308655,B+,132.4,60.2,"5' 3""",160
